candidate_id,rank,score,reasoning
CAND_0081846,1,0.99,"Lead AI Engineer with 6.7 yrs; 14 AI/ML core skills; response rate 0.73; skills=1.00, exp=1.00, prod=0.88; open to work; GitHub score 33.7"
CAND_0018499,2,0.9342,"Senior Machine Learning Engineer with 7.2 yrs; 13 AI/ML core skills; response rate 0.61; skills=1.00, exp=0.90, prod=0.79; open to work; GitHub score 94.8"
CAND_0077337,3,0.9044,"Staff Machine Learning Engineer with 7.0 yrs; 12 AI/ML core skills; response rate 0.95; skills=1.00, exp=1.00, prod=0.65; open to work; GitHub score 68.0"
CAND_0008425,4,0.865,"Senior NLP Engineer with 7.8 yrs; 12 AI/ML core skills; response rate 0.66; skills=1.00, exp=0.88, prod=0.70; open to work; GitHub score 53.3"
CAND_0071974,5,0.8253,"Senior AI Engineer with 7.8 yrs; 14 AI/ML core skills; response rate 0.76; skills=1.00, exp=0.88, prod=0.59; open to work; GitHub score 82.8"
CAND_0086022,6,0.8173,"Senior Applied Scientist with 5.3 yrs; 16 AI/ML core skills; response rate 0.55; skills=1.00, exp=0.93, prod=0.70; open to work; GitHub score 75.2"
CAND_0050876,7,0.8082,"Applied ML Engineer with 6.0 yrs; 13 AI/ML core skills; response rate 0.67; skills=0.97, exp=0.97, prod=0.65; open to work; GitHub score 86.1"
CAND_0002025,8,0.7928,"Senior AI Engineer with 5.9 yrs; 15 AI/ML core skills; response rate 0.80; skills=1.00, exp=0.87, prod=0.68; open to work; GitHub score 96.9"
CAND_0088025,9,0.7403,"Staff Machine Learning Engineer with 8.6 yrs; 15 AI/ML core skills; response rate 0.83; skills=1.00, exp=0.93, prod=0.47; open to work; GitHub score 74.6"
CAND_0087630,10,0.7261,"AI Engineer with 7.2 yrs; 13 AI/ML core skills; response rate 0.45; skills=1.00, exp=1.00, prod=0.65; passive; GitHub score 23.2"
CAND_0079387,11,0.7158,"AI Engineer with 6.9 yrs; 12 AI/ML core skills; response rate 0.81; skills=0.90, exp=1.00, prod=0.58; open to work; GitHub score 64.1"
CAND_0009691,12,0.7076,"Applied ML Engineer with 6.2 yrs; 14 AI/ML core skills; response rate 0.64; skills=0.94, exp=0.88, prod=0.80; open to work; GitHub score 67.8"
CAND_0006557,13,0.689,"NLP Engineer with 7.9 yrs; 12 AI/ML core skills; response rate 0.63; skills=1.00, exp=0.98, prod=0.66; open to work"
CAND_0074735,14,0.6763,"Applied ML Engineer with 5.5 yrs; 13 AI/ML core skills; response rate 0.77; skills=1.00, exp=0.94, prod=0.42; open to work; GitHub score 87.7"
CAND_0083307,15,0.6679,"Search Engineer with 7.8 yrs; 15 AI/ML core skills; response rate 0.70; skills=1.00, exp=0.98, prod=0.44; open to work; GitHub score 69.2"
CAND_0049538,16,0.6564,"Applied ML Engineer with 5.8 yrs; 12 AI/ML core skills; response rate 0.72; skills=0.99, exp=0.96, prod=0.54; passive; GitHub score 90.8"
CAND_0081053,17,0.6512,"NLP Engineer with 5.4 yrs; 10 AI/ML core skills; response rate 0.83; skills=0.87, exp=0.93, prod=0.67; open to work; GitHub score 77.7"
CAND_0095528,18,0.6453,"Senior Data Scientist with 5.3 yrs; 12 AI/ML core skills; response rate 0.55; skills=1.00, exp=0.83, prod=0.73; open to work"
CAND_0030031,19,0.6361,"AI Engineer with 5.7 yrs; 12 AI/ML core skills; response rate 0.94; skills=0.92, exp=0.96, prod=0.72; passive; GitHub score 32.4"
CAND_0005260,20,0.6322,"Senior NLP Engineer with 5.2 yrs; 14 AI/ML core skills; response rate 0.86; skills=0.99, exp=0.82, prod=0.74; passive"
CAND_0075574,21,0.5766,"Machine Learning Engineer with 5.7 yrs; 12 AI/ML core skills; response rate 0.58; skills=1.00, exp=0.96, prod=0.53; open to work; GitHub score 37.7"
CAND_0042506,22,0.5715,"Search Engineer with 4.2 yrs; 15 AI/ML core skills; response rate 0.48; skills=1.00, exp=0.82, prod=0.60; open to work; GitHub score 64.0"
CAND_0033861,23,0.5713,"Senior NLP Engineer with 8.0 yrs; 15 AI/ML core skills; response rate 0.16; skills=1.00, exp=0.97, prod=0.62; passive; GitHub score 32.6"
CAND_0068811,24,0.5687,"Applied ML Engineer with 8.0 yrs; 13 AI/ML core skills; response rate 0.42; skills=0.98, exp=0.97, prod=0.60; open to work; GitHub score 23.1"
CAND_0046525,25,0.5608,"Senior Machine Learning Engineer with 6.1 yrs; 11 AI/ML core skills; response rate 0.88; skills=0.86, exp=0.98, prod=0.79; open to work; GitHub score 36.7"
CAND_0037944,26,0.5552,"Senior Data Scientist with 4.9 yrs; 11 AI/ML core skills; response rate 0.42; skills=0.97, exp=0.89, prod=0.56; open to work; GitHub score 83.0"
CAND_0011687,27,0.5517,"Senior NLP Engineer with 7.8 yrs; 11 AI/ML core skills; response rate 0.89; skills=0.87, exp=0.98, prod=0.49; open to work; GitHub score 76.3"
CAND_0076163,28,0.5482,"NLP Engineer with 6.9 yrs; 13 AI/ML core skills; response rate 0.84; skills=0.99, exp=0.90, prod=0.53; open to work; GitHub score 84.6"
CAND_0045250,29,0.5469,"Applied ML Engineer with 6.6 yrs; 14 AI/ML core skills; response rate 0.74; skills=1.00, exp=1.00, prod=0.53; passive"
CAND_0091909,30,0.5413,"Machine Learning Engineer with 6.9 yrs; 10 AI/ML core skills; response rate 0.65; skills=0.83, exp=1.00, prod=0.62; open to work; GitHub score 49.7"
CAND_0072660,31,0.5408,"Machine Learning Engineer with 7.1 yrs; 12 AI/ML core skills; response rate 0.53; skills=0.93, exp=1.00, prod=0.57; open to work"
CAND_0015528,32,0.5395,"Applied ML Engineer with 7.4 yrs; 14 AI/ML core skills; response rate 0.53; skills=0.96, exp=1.00, prod=0.56; passive; GitHub score 50.6"
CAND_0099806,33,0.5351,"AI Engineer with 4.6 yrs; 12 AI/ML core skills; response rate 0.76; skills=0.90, exp=0.86, prod=0.56; open to work; GitHub score 86.9"
CAND_0020877,34,0.5257,"Applied ML Engineer with 5.1 yrs; 13 AI/ML core skills; response rate 0.66; skills=1.00, exp=0.91, prod=0.48; passive; GitHub score 74.4"
CAND_0070202,35,0.5191,"Machine Learning Engineer with 5.1 yrs; 11 AI/ML core skills; response rate 0.60; skills=0.89, exp=0.91, prod=0.68; passive"
CAND_0096142,36,0.5125,"Applied ML Engineer with 5.0 yrs; 10 AI/ML core skills; response rate 0.84; skills=0.82, exp=0.90, prod=0.73; open to work; GitHub score 80.5"
CAND_0027691,37,0.5112,"NLP Engineer with 6.5 yrs; 12 AI/ML core skills; response rate 0.68; skills=0.88, exp=0.99, prod=0.49; open to work; GitHub score 58.5"
CAND_0041669,38,0.5007,"Recommendation Systems Engineer with 8.0 yrs; 14 AI/ML core skills; response rate 0.77; skills=1.00, exp=0.76, prod=0.51; open to work; GitHub score 70.9"
CAND_0046064,39,0.4898,"Senior NLP Engineer with 8.9 yrs; 10 AI/ML core skills; response rate 0.78; skills=0.82, exp=0.91, prod=0.65; open to work; GitHub score 67.3"
CAND_0055905,40,0.4891,"Senior Machine Learning Engineer with 8.1 yrs; 10 AI/ML core skills; response rate 0.87; skills=0.87, exp=0.87, prod=0.77; open to work"
CAND_0044222,41,0.4878,"AI Engineer with 7.7 yrs; 12 AI/ML core skills; response rate 0.60; skills=0.88, exp=0.99, prod=0.50; open to work; GitHub score 28.9"
CAND_0070398,42,0.4851,"Machine Learning Engineer with 7.2 yrs; 11 AI/ML core skills; response rate 0.60; skills=0.91, exp=1.00, prod=0.46; open to work; GitHub score 63.1"
CAND_0041611,43,0.4813,"Staff Machine Learning Engineer with 6.4 yrs; 16 AI/ML core skills; response rate 0.07; skills=1.00, exp=0.99, prod=0.61; passive"
CAND_0020708,44,0.4812,"Search Engineer with 4.2 yrs; 13 AI/ML core skills; response rate 0.84; skills=0.97, exp=0.82, prod=0.43; open to work; GitHub score 84.3"
CAND_0043228,45,0.4726,"Applied ML Engineer with 6.8 yrs; 11 AI/ML core skills; response rate 0.41; skills=0.92, exp=1.00, prod=0.53; passive; GitHub score 47.6"
CAND_0080766,46,0.4652,"Staff Machine Learning Engineer with 8.8 yrs; 13 AI/ML core skills; response rate 0.66; skills=0.94, exp=0.92, prod=0.56; passive; GitHub score 32.9"
CAND_0050454,47,0.4635,"AI Engineer with 6.8 yrs; 12 AI/ML core skills; response rate 0.77; skills=0.90, exp=1.00, prod=0.42; open to work"
CAND_0051004,48,0.4634,"Senior Data Scientist with 4.7 yrs; 15 AI/ML core skills; response rate 0.41; skills=1.00, exp=0.87, prod=0.45; open to work; GitHub score 30.8"
CAND_0094759,49,0.4584,"Lead AI Engineer with 8.6 yrs; 13 AI/ML core skills; response rate 0.11; skills=1.00, exp=0.83, prod=0.60; passive; GitHub score 76.2"
CAND_0011162,50,0.4571,"Recommendation Systems Engineer with 5.8 yrs; 14 AI/ML core skills; response rate 0.75; skills=1.00, exp=0.75, prod=0.56; open to work; GitHub score 34.3"
CAND_0044855,51,0.4566,"Senior Data Scientist with 6.6 yrs; 10 AI/ML core skills; response rate 0.57; skills=0.93, exp=0.90, prod=0.54; passive; GitHub score 46.7"
